"4d6a1b8c-e5f6-4f71-9da9-9772fc01beda","http://symbiota4.acis.ufl.edu/imglib/scan/ASU_ASUHIC/201506/ASUHIC0079354_habitus_dorsal_1433189533.jpg","Arecopais spectabilis","Anthribidae","Arecopais"
"8bb8dacf-4713-44c9-b2cb-f369ece5f66a","http://symbiota4.acis.ufl.edu/imglib/scan/ASU_ASUHIC/201506/ASUHIC0076356_habitus_dorsal_1433795347.jpg","Embaphion glabrum","Tenebrionidae","Embaphion"
"4354e1b0-d44c-4089-af2b-890a1514037e","http://symbiota4.acis.ufl.edu/imglib/scan/ASU_ASUHIC/201506/ASUHIC0079363_habitus_dorsal_1433795115.jpg","Neanthribus plagicollis","Anthribidae","Neanthribus"
"02f8e79d-4cde-4f4b-8468-a232acb9b869","http://symbiota4.acis.ufl.edu/imglib/scan//201405/ASUHIC0017241_habitus_dor_lg.jpg","Oopterinus laevigatus","Curculionidae","Oopterinus"
"8bc6832e-bf21-47bd-bb23-25b874ed2941","http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201401/ASUHIC0034037_habitus_dor_lg.jpg","Entiminae","Curculionidae",""
"8e8550e1-1c31-4ff6-85bf-ab67f79356cd","http://www2.nau.edu/sbugs-p/NMSU/NMSUACP0012/NMSUACP0012810_D_lg.jpg","Carabidae","Carabidae",""
"2ae689c4-b99c-4562-be5d-39093c181f4b","http://www2.nau.edu/sbugs-p/TTU-Z/TTU-Z_035/TTU-Z_035975_combined_dorsal_lg.jpg","Blapstinus fortis","Tenebrionidae","Blapstinus"
"2dac9843-2bcf-4613-ab58-0f5e3802d53a","http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201310/ASUHIC0008628_habitus_dor_lg.jpg","Ceutorhynchus pusio","Curculionidae","Ceutorhynchus"
"2e404940-d319-4246-a178-a4db89938fc8","http://www2.nau.edu/sbugs-p/NMSU/NMSUACP0012/NMSUACP0012776_D_lg.jpg","Carabidae","Carabidae",""
"2e52e24f-c1fc-42bc-8b8b-ae9a06ab48d3","http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201304/ASUHIC0008411_habitus_dor_lg.jpg","Tyloderma caseyi","Curculionidae","Tyloderma"
"2f9b2370-d404-496f-b37a-cb63c037cbb0","http://symbiota4.acis.ufl.edu/imglib/scan/ASU_ASUHIC/201601/ASUHIC0008518_habitus_dorsal_1452539212.jpg","Sphenophorus graminis","Curculionidae","Sphenophorus"
"931e285e-c019-4c5d-bf06-f394b7e7bb03","http://www2.nau.edu/sbugs-p/NMSU/NMSUACP0012/NMSUACP0012797_D_lg.jpg","Carabidae","Carabidae",""
"955d6df1-dd9d-4a94-a01d-7061f550586a","http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201304/ASUHIC0003507_habitus_dor_lg.jpg","Barilepis grisea","Curculionidae","Barilepis"
"96695429-4c46-4fca-a7f8-82ec5a5254ce","http://symbiota4.acis.ufl.edu/imglib/scan/ASU_ASUHIC/201408/ASUHIC0033953_habitus_dorsal_1408490607.jpg","Entiminae","Curculionidae",""
